id_docente,asignatura,semestre,numero_estudiantes,puntaje_claridad,puntaje_metodologia,puntaje_evaluacion,comentario,tendencia_desempeno
Docente_41,Matemáticas Básicas,2020-1,38,3.2,4.1,3.9,Cumple con el programa.,Estable
Docente_16,Programación Orientada a Objetos,2021-1,38,4.3,3.7,4.1,La clase es muy dinámica y entretenida.,Estable
Docente_44,Ingeniería de Software,2020-2,33,4.2,4.2,3.1,Me inspiró a seguir aprendiendo sobre este tema.,Mejora
Docente_3,Matemáticas Básicas,2020-2,21,5.0,4.2,4.6,La clase es muy dinámica y entretenida.,Mejora
Docente_33,Estructuras de Datos,2020-1,32,4.1,3.7,4.1,La clase es muy dinámica y entretenida.,Mejora
Docente_46,Ingeniería de Software,2023-1,22,4.1,3.6,3.9,La clase es muy aburrida y monótona.,Estable
Docente_38,Bases de Datos,2020-1,39,3.5,4.4,3.9,Los talleres son muy útiles para aprender.,Estable
Docente_45,Inteligencia Artificial,2022-2,23,3.5,3.9,3.3,Resuelve las dudas con mucha paciencia.,Estable
Docente_14,Ética Profesional,2022-2,18,4.4,4.8,3.8,"Excelente profesor, muy claro.",Mejora
Docente_25,Matemáticas Básicas,2022-2,42,4.3,3.2,3.9,Se podría mejorar un poco el material de estudio.,Estable
Docente_39,Bases de Datos,2020-1,38,2.7,3.2,1.8,La clase estuvo bien.,En riesgo
Docente_35,Matemáticas Básicas,2023-1,17,3.7,4.4,4.9,Cumple con el programa.,Mejora
Docente_19,Ética Profesional,2022-2,33,3.9,4.7,4.7,La clase es muy dinámica y entretenida.,Mejora
Docente_46,Matemáticas Básicas,2020-1,36,4.2,3.5,3.6,La clase estuvo bien.,Estable
Docente_50,Bases de Datos,2020-2,42,1.4,3.4,2.3,No resuelve las dudas de los estudiantes.,En riesgo
Docente_7,Inteligencia Artificial,2022-1,29,3.6,4.3,4.5,Se podría mejorar un poco el material de estudio.,Estable
Docente_11,Bases de Datos,2022-2,21,1.8,2.5,3.0,Los temas son difíciles pero se entienden.,En riesgo
Docente_18,Ingeniería de Software,2020-2,34,4.2,3.9,4.6,Los talleres son muy útiles para aprender.,Estable
Docente_35,Ingeniería de Software,2021-2,20,3.6,3.9,3.1,La clase es muy aburrida y monótona.,Estable
Docente_25,Bases de Datos,2021-2,36,4.3,3.8,4.0,Los temas son difíciles pero se entienden.,Estable
Docente_50,Ética Profesional,2020-1,22,3.4,4.3,3.7,"Excelente profesor, muy claro.",Estable
Docente_21,Inteligencia Artificial,2022-1,17,4.3,5.0,4.6,La clase es muy dinámica y entretenida.,Mejora
Docente_37,Ingeniería de Software,2022-2,21,3.5,2.7,2.2,Los temas son difíciles pero se entienden.,En riesgo
Docente_32,Inteligencia Artificial,2023-2,19,4.8,4.4,3.7,Resuelve las dudas con mucha paciencia.,Mejora
Docente_9,Programación Orientada a Objetos,2022-1,38,1.0,2.8,2.2,"El profesor es normal, ni muy bueno ni muy malo.",En riesgo
Docente_28,Estructuras de Datos,2023-1,26,3.7,3.8,4.0,La clase estuvo bien.,Estable
Docente_9,Estructuras de Datos,2023-2,17,3.3,4.6,3.8,"Excelente profesor, muy claro.",Estable
Docente_8,Programación Orientada a Objetos,2021-1,40,3.0,3.9,5.0,"No explica bien, me siento perdido.",Estable
Docente_39,Matemáticas Básicas,2023-1,27,4.7,4.5,4.1,"El profesor es normal, ni muy bueno ni muy malo.",Mejora
Docente_30,Estructuras de Datos,2022-1,32,3.6,4.5,4.2,Explica muy bien los temas.,Estable
Docente_44,Ingeniería de Software,2020-2,36,4.1,5.0,5.0,Cumple con el programa.,Mejora
Docente_49,Bases de Datos,2022-2,18,4.5,3.4,3.5,"El profesor es normal, ni muy bueno ni muy malo.",Estable
Docente_28,Programación Orientada a Objetos,2023-2,15,5.0,4.9,4.4,Se podría mejorar un poco el material de estudio.,Mejora
Docente_47,Bases de Datos,2021-1,31,4.3,4.2,4.6,"Excelente profesor, muy claro.",Mejora
Docente_41,Bases de Datos,2021-2,19,4.1,3.8,3.6,Se podría mejorar un poco el material de estudio.,Estable
Docente_49,Programación Orientada a Objetos,2020-1,34,4.1,4.9,3.8,Los talleres son muy útiles para aprender.,Mejora
Docente_32,Matemáticas Básicas,2020-2,44,3.5,4.4,2.2,Los parciales no tienen nada que ver con lo visto en clase.,En riesgo
Docente_20,Programación Orientada a Objetos,2020-1,22,2.4,2.8,2.9,"El profesor es normal, ni muy bueno ni muy malo.",En riesgo
Docente_6,Matemáticas Básicas,2023-2,41,4.4,3.5,4.1,Se nota que sabe mucho de la materia.,Estable
Docente_49,Estructuras de Datos,2021-1,19,5.0,4.7,4.0,Los temas son difíciles pero se entienden.,Mejora
Docente_31,Estructuras de Datos,2021-1,23,4.6,4.1,4.9,Cumple con el programa.,Mejora
Docente_39,Inteligencia Artificial,2021-2,44,5.0,4.2,4.8,Cumple con el programa.,Mejora
Docente_49,Ingeniería de Software,2021-2,37,4.2,4.5,4.0,"El profesor es normal, ni muy bueno ni muy malo.",Estable
Docente_26,Ingeniería de Software,2022-2,29,4.3,3.8,3.4,No resuelve las dudas de los estudiantes.,Estable
Docente_29,Matemáticas Básicas,2021-2,22,4.9,4.5,5.0,"Excelente profesor, muy claro.",Mejora
Docente_22,Matemáticas Básicas,2021-2,33,4.1,3.8,5.0,La clase estuvo bien.,Estable
Docente_1,Matemáticas Básicas,2020-1,22,4.0,5.0,4.4,"Excelente profesor, muy claro.",Mejora
Docente_3,Ética Profesional,2022-2,17,4.4,4.5,4.8,Cumple con el programa.,Mejora
Docente_16,Bases de Datos,2023-2,21,4.4,4.9,4.2,Cumple con el programa.,Mejora
Docente_9,Ingeniería de Software,2023-2,22,4.2,3.7,4.2,Califica de forma injusta.,Estable
Docente_27,Programación Orientada a Objetos,2020-2,18,4.9,4.6,4.7,Los temas son difíciles pero se entienden.,Mejora
Docente_28,Bases de Datos,2023-1,28,5.0,4.6,3.8,La clase estuvo bien.,Mejora
Docente_47,Matemáticas Básicas,2020-2,16,3.1,3.3,1.8,Falta mucha pedagogía.,En riesgo
Docente_47,Bases de Datos,2020-2,22,5.0,4.8,4.7,La clase es muy dinámica y entretenida.,Mejora
Docente_13,Estructuras de Datos,2023-2,19,2.5,3.2,3.3,Falta mucha pedagogía.,En riesgo
Docente_12,Bases de Datos,2023-2,22,3.8,4.4,4.1,Se nota que sabe mucho de la materia.,Estable
Docente_29,Ética Profesional,2020-2,16,1.7,1.5,2.5,Los temas son difíciles pero se entienden.,En riesgo
Docente_35,Ética Profesional,2020-1,17,4.1,5.0,3.5,"Asistencia puntual, pero falta dinamismo.",Mejora
Docente_16,Programación Orientada a Objetos,2023-1,30,4.3,4.6,4.0,La clase estuvo bien.,Mejora
Docente_14,Ética Profesional,2023-1,43,3.6,3.5,4.1,"Excelente profesor, muy claro.",Estable
Docente_11,Inteligencia Artificial,2020-1,27,5.0,4.8,4.5,Cumple con el programa.,Estable
Docente_30,Bases de Datos,2023-1,37,3.1,1.2,2.5,Se podría mejorar un poco el material de estudio.,En riesgo
Docente_36,Ingeniería de Software,2023-2,19,3.6,3.1,3.4,Me inspiró a seguir aprendiendo sobre este tema.,Estable
Docente_19,Programación Orientada a Objetos,2020-1,33,5.0,4.4,4.1,Se podría mejorar un poco el material de estudio.,Mejora
Docente_35,Matemáticas Básicas,2022-2,16,4.3,4.5,4.0,"Excelente profesor, muy claro.",Estable
Docente_38,Inteligencia Artificial,2021-1,16,4.6,3.1,3.6,No resuelve las dudas de los estudiantes.,Estable
Docente_6,Ética Profesional,2021-1,17,3.7,4.8,3.8,Falta mucha pedagogía.,Estable
Docente_5,Ingeniería de Software,2021-2,27,3.3,3.8,3.2,La clase es muy dinámica y entretenida.,Estable
